slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
uthofja01,Jarrod Uthoff,POWER FORWARD,26,WASHINGTON WIZARDS,3,39,12.0,0.682,0.455,0.0,2.7,11.7,7.0,0.0,0.0,0.0,0.0,11.7,0.1,0.0,0.1,0.083,0.9,-2.2,-1.3,0.0,False
valanjo01,Jonas Valančiūnas,CENTER,27,MEMPHIS GRIZZLIES,70,1845,22.2,0.631,0.123,0.271,12.4,32.2,22.5,10.9,0.8,3.6,13.3,21.5,4.2,2.8,7.0,0.182,2.1,0.2,2.4,2.0,False
valende01,Denzel Valentine,SMALL FORWARD,26,CHICAGO BULLS,36,488,13.0,0.511,0.578,0.034,1.9,15.5,8.4,14.2,2.6,1.2,9.8,23.3,-0.1,0.6,0.5,0.048,-0.8,0.2,-0.6,0.2,False
vandeja01,Jarred Vanderbilt,POWER FORWARD,20,DENVER NUGGETS,9,41,7.2,0.714,0.0,0.0,8.2,13.6,10.9,6.6,3.6,2.3,50.0,14.8,-0.1,0.1,0.0,-0.042,-7.3,0.9,-6.4,0.0,False
vandeja01,Jarred Vanderbilt,POWER FORWARD,20,MINNESOTA TIMBERWOLVES,2,5,11.1,0.532,1.0,2.0,0.0,21.9,10.6,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.104,-2.8,-2.8,-5.6,0.0,False
vanvlfr01,Fred VanVleet,SHOOTING GUARD,25,TORONTO RAPTORS,54,1928,16.3,0.553,0.484,0.256,1.0,9.9,5.6,27.7,2.5,0.9,12.3,21.7,2.8,3.1,5.8,0.145,1.3,1.4,2.7,2.3,False
vincega01,Gabe Vincent,POINT GUARD,23,MIAMI HEAT,9,83,1.2,0.297,0.73,0.0,0.0,6.5,3.4,10.1,2.9,0.0,2.6,20.2,-0.3,0.1,-0.2,-0.117,-8.5,-1.9,-10.4,-0.2,False
vonleno01,Noah Vonleh,CENTER,24,MINNESOTA TIMBERWOLVES,29,347,15.3,0.605,0.163,0.326,10.0,25.9,17.6,10.8,1.5,1.4,16.2,13.9,0.5,0.4,0.9,0.124,-1.5,0.4,-1.0,0.1,False
vonleno01,Noah Vonleh,CENTER,24,DENVER NUGGETS,7,30,17.6,0.838,0.167,0.667,11.2,18.6,14.9,9.5,0.0,0.0,20.5,14.1,0.1,0.0,0.1,0.166,1.3,-1.9,-0.6,0.0,False
vucevni01,Nikola Vučević,CENTER,29,ORLANDO MAGIC,62,1998,21.9,0.549,0.28,0.162,7.3,29.7,18.1,19.5,1.3,2.1,7.4,25.8,3.5,2.9,6.4,0.153,3.7,0.5,4.2,3.1,False
wadede01,Dean Wade,POWER FORWARD,23,CLEVELAND CAVALIERS,12,71,13.9,0.744,0.308,0.077,4.6,25.3,14.9,4.0,1.4,4.8,18.2,9.9,0.1,0.1,0.2,0.105,-1.7,0.5,-1.3,0.0,False
wagnemo01,Moritz Wagner,CENTER,22,WASHINGTON WIZARDS,45,835,15.1,0.638,0.301,0.357,7.0,22.2,14.3,9.8,1.6,2.0,17.7,18.6,1.1,0.6,1.7,0.099,-2.0,-0.3,-2.3,-0.1,False
waitedi01,Dion Waiters,SHOOTING GUARD,28,MIAMI HEAT,3,42,13.4,0.53,0.654,0.038,0.0,28.2,14.7,12.5,0.0,4.7,10.2,30.9,-0.1,0.1,0.0,-0.003,2.4,-0.5,1.8,0.0,False
waitedi01,Dion Waiters,SHOOTING GUARD,28,LOS ANGELES LAKERS,7,165,11.0,0.518,0.411,0.219,1.3,7.2,4.3,14.9,1.2,2.2,14.0,23.8,-0.1,0.2,0.1,0.038,-1.4,-0.6,-2.0,0.0,False
walkeke02,Kemba Walker,POINT GUARD,29,BOSTON CELTICS,56,1742,20.0,0.575,0.532,0.272,2.2,11.0,6.7,24.2,1.3,1.5,10.5,27.2,3.9,2.0,5.9,0.162,4.9,-0.3,4.6,2.9,False
walkelo01,Lonnie Walker IV,SHOOTING GUARD,21,SAN ANTONIO SPURS,61,988,10.5,0.507,0.283,0.171,2.5,12.7,7.6,9.6,1.5,1.2,10.3,18.7,-0.2,0.6,0.3,0.016,-2.5,-1.0,-3.5,-0.4,False
wallaty01,Tyrone Wallace,SHOOTING GUARD,25,ATLANTA HAWKS,14,160,3.9,0.389,0.341,0.386,2.0,13.0,7.4,10.9,2.0,0.5,16.3,16.0,-0.3,0.1,-0.2,-0.075,-7.8,-1.0,-8.7,-0.3,False
waltode01,Derrick Walton,POINT GUARD,24,LOS ANGELES CLIPPERS,23,222,8.4,0.626,0.583,0.25,1.0,5.9,3.5,12.6,0.9,0.0,9.1,8.3,0.4,0.2,0.5,0.112,-2.2,0.9,-1.3,0.0,False
waltode01,Derrick Walton,POINT GUARD,24,DETROIT PISTONS,3,26,11.3,0.5,1.0,0.0,0.0,4.4,2.2,24.8,5.7,0.0,25.0,6.7,0.0,0.0,0.1,0.105,-2.9,4.7,1.8,0.0,False
wanambr01,Brad Wanamaker,POINT GUARD,30,BOSTON CELTICS,71,1369,12.8,0.577,0.282,0.376,1.7,9.4,5.6,17.8,2.2,0.9,15.3,15.5,1.8,1.8,3.5,0.124,-1.9,1.3,-0.6,0.5,False
warretj01,T.J. Warren,SMALL FORWARD,26,INDIANA PACERS,67,2202,18.4,0.61,0.227,0.205,3.4,10.5,7.0,7.1,1.7,1.4,7.2,23.3,4.0,2.6,6.5,0.143,1.2,0.0,1.1,1.7,False
washipj01,P.J. Washington,POWER FORWARD,21,CHARLOTTE HORNETS,58,1759,12.4,0.547,0.39,0.231,3.5,16.6,9.8,11.3,1.5,2.3,12.5,18.6,0.5,1.5,2.0,0.054,-1.7,0.1,-1.6,0.2,False
watanyu01,Yuta Watanabe,SMALL FORWARD,25,MEMPHIS GRIZZLIES,18,105,11.2,0.48,0.235,0.235,7.2,12.8,10.0,6.4,2.2,0.8,5.1,15.7,0.0,0.1,0.1,0.065,-2.4,0.7,-1.7,0.0,False
watertr01,Tremont Waters,POINT GUARD,22,BOSTON CELTICS,11,119,4.3,0.381,0.49,0.163,0.0,10.7,5.4,18.3,4.1,1.6,22.2,24.2,-0.5,0.2,-0.3,-0.103,-8.5,1.0,-7.5,-0.2,False
watsopa01,Paul Watson,SMALL FORWARD,25,ATLANTA HAWKS,2,17,-7.1,0.0,0.429,0.0,0.0,12.8,6.3,21.1,2.7,0.0,0.0,17.1,-0.1,0.0,-0.1,-0.32,-11.5,-1.6,-13.1,0.0,False
watsopa01,Paul Watson,SMALL FORWARD,25,TORONTO RAPTORS,8,70,17.3,0.675,0.474,0.474,3.1,19.2,11.3,10.3,2.0,1.4,11.6,15.9,0.2,0.1,0.3,0.198,1.4,1.4,2.9,0.1,False
weathqu01,Quinndary Weatherspoon,SHOOTING GUARD,23,SAN ANTONIO SPURS,11,78,3.2,0.336,0.294,0.118,1.4,8.3,4.8,17.5,1.8,1.1,21.9,12.7,-0.2,0.0,-0.1,-0.071,-6.4,-1.0,-7.4,-0.1,False
westbru01,Russell Westbrook,POINT GUARD,31,HOUSTON ROCKETS,57,2049,21.0,0.536,0.166,0.297,5.1,18.1,11.5,35.6,2.1,0.8,15.0,34.4,1.7,2.5,4.2,0.098,1.6,-0.1,1.5,1.8,False
whiteco01,Coby White,POINT GUARD,19,CHICAGO BULLS,65,1674,11.9,0.506,0.475,0.163,1.8,14.0,7.6,16.5,1.4,0.3,11.4,24.4,-0.5,1.4,0.9,0.026,-1.3,-1.6,-2.9,-0.4,False
whitede01,Derrick White,SHOOTING GUARD,25,SAN ANTONIO SPURS,68,1677,16.4,0.593,0.391,0.382,2.3,12.1,7.2,20.0,1.3,3.1,12.1,18.9,3.1,1.1,4.2,0.119,1.2,0.1,1.3,1.4,False
whiteha01,Hassan Whiteside,CENTER,30,PORTLAND TRAIL BLAZERS,67,2008,25.0,0.644,0.01,0.34,13.6,33.3,23.6,5.9,0.6,8.4,12.9,19.6,5.6,3.0,8.5,0.204,2.5,0.7,3.2,2.6,False
wiggian01,Andrew Wiggins,SMALL FORWARD,24,MINNESOTA TIMBERWOLVES,42,1455,16.1,0.535,0.348,0.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,0.6,0.8,1.4,0.046,1.1,-1.5,-0.4,0.6,False
wiggian01,Andrew Wiggins,SMALL FORWARD,24,GOLDEN STATE WARRIORS,12,403,17.5,0.542,0.314,0.324,4.7,10.3,7.4,18.2,1.9,3.8,10.4,25.4,0.2,0.3,0.5,0.064,1.0,-1.1,-0.1,0.2,False
willigr01,Grant Williams,POWER FORWARD,21,BOSTON CELTICS,69,1043,7.9,0.505,0.455,0.256,6.1,12.1,9.1,8.5,1.4,3.2,17.6,11.6,0.1,1.4,1.6,0.071,-4.1,1.4,-2.7,-0.2,False
willijo04,Johnathan Williams,POWER FORWARD,24,WASHINGTON WIZARDS,15,180,14.0,0.566,0.059,0.382,14.0,25.3,19.4,5.9,0.3,3.9,11.2,10.3,0.3,0.1,0.4,0.109,-0.8,-1.3,-2.0,0.0,False
willike04,Kenrich Williams,POWER FORWARD,25,NEW ORLEANS PELICANS,39,832,7.5,0.429,0.66,0.177,6.5,17.3,11.9,8.4,1.5,2.1,12.2,8.9,0.1,0.8,0.9,0.05,-3.4,0.9,-2.4,-0.1,False
willilo02,Lou Williams,POINT GUARD,33,LOS ANGELES CLIPPERS,65,1864,17.3,0.546,0.337,0.362,1.8,9.2,5.6,30.1,1.1,0.6,14.4,28.4,2.3,1.8,4.1,0.105,2.1,-1.4,0.7,1.3,False
